"","year","state","measurement.s.","chemical","chemical.type","value","toxin","level"
"6",2019,"CALIFORNIA","MEASURED IN LB","BOSCALID","FUNGICIDE",8.73230457103318,"Carcinogen","possible"
"11",2019,"CALIFORNIA","MEASURED IN LB","CAPTAN","FUNGICIDE",12.5549674021499,"Carcinogen","known"
"30",2019,"CALIFORNIA","MEASURED IN LB","FLUDIOXONIL","FUNGICIDE",9.31470038730042,"Bee.Toxins","slight"
"32",2019,"CALIFORNIA","MEASURED IN LB","MYCLOBUTANIL","FUNGICIDE",8.63052187672324,"Hormone.Disruptor","suspected"
"34",2019,"CALIFORNIA","MEASURED IN LB","MYCLOBUTANIL","FUNGICIDE",8.63052187672324,"Developmental.or.Reproductive.Toxins","present"
"36",2019,"CALIFORNIA","MEASURED IN LB","PROPICONAZOLE","FUNGICIDE",7.37775890822787,"Carcinogen","possible"
"37",2019,"CALIFORNIA","MEASURED IN LB","PROPICONAZOLE","FUNGICIDE",7.37775890822787,"Hormone.Disruptor","suspected"
"39",2019,"CALIFORNIA","MEASURED IN LB","PROPICONAZOLE","FUNGICIDE",7.37775890822787,"Developmental.or.Reproductive.Toxins","present"
"40",2019,"CALIFORNIA","MEASURED IN LB","PROPICONAZOLE","FUNGICIDE",7.37775890822787,"Bee.Toxins","slight"
"45",2019,"CALIFORNIA","MEASURED IN LB","PYRACLOSTROBIN","FUNGICIDE",8.90923527919226,"Bee.Toxins","slight"
"46",2019,"CALIFORNIA","MEASURED IN LB","PYRIMETHANIL","FUNGICIDE",9.13776967914135,"Carcinogen","possible"
"47",2019,"CALIFORNIA","MEASURED IN LB","PYRIMETHANIL","FUNGICIDE",9.13776967914135,"Hormone.Disruptor","suspected"
"50",2019,"CALIFORNIA","MEASURED IN LB","PYRIMETHANIL","FUNGICIDE",9.13776967914135,"Bee.Toxins","slight"
"60",2019,"CALIFORNIA","MEASURED IN LB","TRIFLUMIZOLE","FUNGICIDE",8.88183630500415,"Bee.Toxins","slight"
"65",2019,"CALIFORNIA","MEASURED IN LB","ACETAMIPRID","INSECTICIDE",7.9373746961633,"Bee.Toxins","moderate"
"70",2019,"CALIFORNIA","MEASURED IN LB","BIFENAZATE","INSECTICIDE",9.79255599182885,"Bee.Toxins","moderate"
"71",2019,"CALIFORNIA","MEASURED IN LB","BIFENTHRIN","INSECTICIDE",8.89562962713648,"Carcinogen","possible"
"72",2019,"CALIFORNIA","MEASURED IN LB","BIFENTHRIN","INSECTICIDE",8.89562962713648,"Hormone.Disruptor","suspected"
"74",2019,"CALIFORNIA","MEASURED IN LB","BIFENTHRIN","INSECTICIDE",8.89562962713648,"Developmental.or.Reproductive.Toxins","present"
"75",2019,"CALIFORNIA","MEASURED IN LB","BIFENTHRIN","INSECTICIDE",8.89562962713648,"Bee.Toxins","high"
"81",2019,"CALIFORNIA","MEASURED IN LB","HEXYTHIAZOX","INSECTICIDE",7.74066440191724,"Carcinogen","probable"
"90",2019,"CALIFORNIA","MEASURED IN LB","IMIDACLOPRID","INSECTICIDE",8.1605182474775,"Bee.Toxins","high"
"91",2019,"CALIFORNIA","MEASURED IN LB","MALATHION","INSECTICIDE",10.9455294897158,"Carcinogen","possible"
"92",2019,"CALIFORNIA","MEASURED IN LB","MALATHION","INSECTICIDE",10.9455294897158,"Hormone.Disruptor","suspected"
"93",2019,"CALIFORNIA","MEASURED IN LB","MALATHION","INSECTICIDE",10.9455294897158,"Neurotoxins","present"
"95",2019,"CALIFORNIA","MEASURED IN LB","MALATHION","INSECTICIDE",10.9455294897158,"Bee.Toxins","high"
"100",2019,"CALIFORNIA","MEASURED IN LB","METHOXYFENOZIDE","INSECTICIDE",8.10167774745457,"Bee.Toxins","slight"
"101",2019,"CALIFORNIA","MEASURED IN LB","PIPERONYL BUTOXIDE","INSECTICIDE",7.09007683577609,"Carcinogen","possible"
"102",2019,"CALIFORNIA","MEASURED IN LB","PIPERONYL BUTOXIDE","INSECTICIDE",7.09007683577609,"Hormone.Disruptor","suspected"
"105",2019,"CALIFORNIA","MEASURED IN LB","PIPERONYL BUTOXIDE","INSECTICIDE",7.09007683577609,"Bee.Toxins","moderate"
"110",2019,"CALIFORNIA","MEASURED IN LB","PYRIPROXYFEN","INSECTICIDE",4.60517018598809,"Bee.Toxins","slight"
"120",2019,"CALIFORNIA","MEASURED IN LB","THIAMETHOXAM","INSECTICIDE",7.24422751560335,"Bee.Toxins","high"
"126",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","BOSCALID","FUNGICIDE",-1.08767234862978,"Carcinogen","possible"
"131",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","CAPTAN","FUNGICIDE",0.553310235372146,"Carcinogen","known"
"150",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","FLUDIOXONIL","FUNGICIDE",-1.54646311327271,"Bee.Toxins","slight"
"152",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","MYCLOBUTANIL","FUNGICIDE",-2.24431618487007,"Hormone.Disruptor","suspected"
"154",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","MYCLOBUTANIL","FUNGICIDE",-2.24431618487007,"Developmental.or.Reproductive.Toxins","present"
"156",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PROPICONAZOLE","FUNGICIDE",-2.18925640768704,"Carcinogen","possible"
"157",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PROPICONAZOLE","FUNGICIDE",-2.18925640768704,"Hormone.Disruptor","suspected"
"159",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PROPICONAZOLE","FUNGICIDE",-2.18925640768704,"Developmental.or.Reproductive.Toxins","present"
"160",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PROPICONAZOLE","FUNGICIDE",-2.18925640768704,"Bee.Toxins","slight"
"165",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PYRACLOSTROBIN","FUNGICIDE",-1.77785656405906,"Bee.Toxins","slight"
"166",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PYRIMETHANIL","FUNGICIDE",-0.673344553263766,"Carcinogen","possible"
"167",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PYRIMETHANIL","FUNGICIDE",-0.673344553263766,"Hormone.Disruptor","suspected"
