"","year","state","measurement.s.","chemical","chemical.type","value"
"1",2019,"CALIFORNIA","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",300277717
"2",2019,"CALIFORNIA","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",138401600
"3",2019,"CALIFORNIA","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",275716713
"4",2019,"CALIFORNIA","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",117721400
"5",2019,"CALIFORNIA","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",24561004
"6",2019,"CALIFORNIA","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",20680200
"7",2019,"FLORIDA","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",15055709
"8",2019,"FLORIDA","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",5990500
"9",2019,"FLORIDA","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",15055709
"10",2019,"FLORIDA","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",5990500
"11",2019,"NEW YORK","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",644155
"12",2019,"NEW YORK","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",226000
"13",2019,"NORTH CAROLINA","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",87402
"14",2019,"NORTH CAROLINA","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",30000
"15",2019,"NORTH CAROLINA","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",87402
"16",2019,"NORTH CAROLINA","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",30000
"17",2019,"OREGON","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",1728809
"18",2019,"OREGON","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",508100
"19",2019,"OREGON","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",505658
"20",2019,"OREGON","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",100400
"21",2019,"OREGON","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",1223151
"22",2019,"OREGON","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",407700
"23",2019,"WASHINGTON","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",745009
"24",2019,"WASHINGTON","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",242800
"25",2019,"WASHINGTON","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",240400
"26",2019,"WASHINGTON","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",2300
"27",2016,"CALIFORNIA","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",231304956
"28",2016,"CALIFORNIA","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",144645800
"29",2016,"CALIFORNIA","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",211553703
"30",2016,"CALIFORNIA","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",122157100
"31",2016,"CALIFORNIA","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",19751253
"32",2016,"CALIFORNIA","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",22488600
"33",2016,"FLORIDA","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",2455805
"34",2016,"FLORIDA","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",1453200
"35",2016,"NEW YORK","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",459144
"36",2016,"NEW YORK","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",101200
"37",2016,"NORTH CAROLINA","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",358487
"38",2016,"NORTH CAROLINA","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",130800
"39",2016,"NORTH CAROLINA","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",358487
"40",2016,"NORTH CAROLINA","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",130800
"41",2016,"OREGON","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",1752592
"42",2016,"OREGON","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",583200
"43",2016,"OREGON","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",198000
"44",2016,"OREGON","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",385200
"45",2016,"WASHINGTON","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",2917197
"46",2016,"WASHINGTON","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",1071800
"47",2016,"WASHINGTON","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",1038300
"48",2016,"WASHINGTON","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",33500
"49",2015,"CALIFORNIA","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",144304480
"50",2015,"CALIFORNIA","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",73806200
"51",2015,"FLORIDA","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",884200
"52",2015,"NEW YORK","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",222146
"53",2015,"NEW YORK","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",187100
"54",2015,"NORTH CAROLINA","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",728216
"55",2015,"NORTH CAROLINA","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",235500
"56",2015,"OREGON","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",714604
"57",2015,"OREGON","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",175500
"58",2015,"WASHINGTON","MEASURED IN $","NOP USDA CERTIFIED","ORGANIC STATUS",609592
"59",2015,"WASHINGTON","MEASURED IN LB","NOP USDA CERTIFIED","ORGANIC STATUS",262700
"60",2019,"CALIFORNIA","MEASURED IN LB","AZOXYSTROBIN ","FUNGICIDE",5500
"61",2019,"CALIFORNIA","MEASURED IN LB","BLAD ","FUNGICIDE",1200
"62",2019,"CALIFORNIA","MEASURED IN LB","BORAX DECAHYDRATE ","FUNGICIDE",300
"63",2019,"CALIFORNIA","MEASURED IN LB","BOSCALID ","FUNGICIDE",6200
"64",2019,"CALIFORNIA","MEASURED IN LB","CAPTAN ","FUNGICIDE",283500
"65",2019,"CALIFORNIA","MEASURED IN LB","CYFLUFENAMID ","FUNGICIDE",400
"66",2019,"CALIFORNIA","MEASURED IN LB","CYPRODINIL ","FUNGICIDE",16600
"67",2019,"CALIFORNIA","MEASURED IN LB","DIFENOCONAZOLE ","FUNGICIDE",900
"68",2019,"CALIFORNIA","MEASURED IN LB","FENHEXAMID ","FUNGICIDE",15000
"69",2019,"CALIFORNIA","MEASURED IN LB","FLUDIOXONIL ","FUNGICIDE",11100
"70",2019,"CALIFORNIA","MEASURED IN LB","FLUOPYRAM ","FUNGICIDE",3900
"71",2019,"CALIFORNIA","MEASURED IN LB","FLUXAPYROXAD ","FUNGICIDE",3900
"72",2019,"CALIFORNIA","MEASURED IN LB","FOSETYL-AL ","FUNGICIDE",34200
"73",2019,"CALIFORNIA","MEASURED IN LB","MEFENOXAM ","FUNGICIDE",9300
"74",2019,"CALIFORNIA","MEASURED IN LB","MYCLOBUTANIL ","FUNGICIDE",5600
"75",2019,"CALIFORNIA","MEASURED IN LB","PENTHIOPYRAD ","FUNGICIDE",7000
"76",2019,"CALIFORNIA","MEASURED IN LB","POLYOXIN D ZINC SALT ","FUNGICIDE",1400
"77",2019,"CALIFORNIA","MEASURED IN LB","POTASSIUM BICARBON. ","FUNGICIDE",11300
"78",2019,"CALIFORNIA","MEASURED IN LB","PROPICONAZOLE ","FUNGICIDE",1600
"79",2019,"CALIFORNIA","MEASURED IN LB","PYRACLOSTROBIN ","FUNGICIDE",7400
"80",2019,"CALIFORNIA","MEASURED IN LB","PYRIMETHANIL ","FUNGICIDE",9300
"81",2019,"CALIFORNIA","MEASURED IN LB","QUINOLINE ","FUNGICIDE",4800
"82",2019,"CALIFORNIA","MEASURED IN LB","SULFUR ","FUNGICIDE",686000
"83",2019,"CALIFORNIA","MEASURED IN LB","TETRACONAZOLE ","FUNGICIDE",600
"84",2019,"CALIFORNIA","MEASURED IN LB","THIOPHANATE-METHYL ","FUNGICIDE",3300
"85",2019,"CALIFORNIA","MEASURED IN LB","THIRAM ","FUNGICIDE",90900
"86",2019,"CALIFORNIA","MEASURED IN LB","TOTAL","FUNGICIDE",1233500
"87",2019,"CALIFORNIA","MEASURED IN LB","TRIFLOXYSTROBIN ","FUNGICIDE",4200
"88",2019,"CALIFORNIA","MEASURED IN LB","TRIFLUMIZOLE ","FUNGICIDE",7200
"89",2019,"CALIFORNIA","MEASURED IN LB","CARFENTRAZONE-ETHYL ","HERBICIDE",200
"90",2019,"CALIFORNIA","MEASURED IN LB","FLUMIOXAZIN ","HERBICIDE",1100
"91",2019,"CALIFORNIA","MEASURED IN LB","OXYFLUORFEN ","HERBICIDE",1300
"92",2019,"CALIFORNIA","MEASURED IN LB","PENDIMETHALIN ","HERBICIDE",5500
"93",2019,"CALIFORNIA","MEASURED IN LB","TOTAL","HERBICIDE",10200
